File Name,# of MPRs,# of medians by first method,# of medians by second method
./TreeLifeData/COG0001.newick,17891328,512,256
./TreeLifeData/COG0002.newick,19574784,32,32
./TreeLifeData/COG0003.newick,45056,128,64
./TreeLifeData/COG0004.newick,259498377216000,256,32
./TreeLifeData/COG0005.newick,1550799618048,512,128
./TreeLifeData/COG0006.newick,2320,4,1
./TreeLifeData/COG0007.newick,374652076032,128,64
./TreeLifeData/COG0008.newick,375540978548736,1536,128
./TreeLifeData/COG0009.newick,15430543293284352,16384,128
./TreeLifeData/COG0010.newick,12533760,2048,512
./TreeLifeData/COG0011.newick,71680,128,32
./TreeLifeData/COG0012.newick,2211840,256,96
./TreeLifeData/COG0013.newick,18560,128,64
./TreeLifeData/COG0014.newick,539136,256,32
./TreeLifeData/COG0015.newick,14608760832,4096,512
./TreeLifeData/COG0016.newick,8417280,512,128
./TreeLifeData/COG0017.newick,109486080,1024,64
./TreeLifeData/COG0018.newick,776785920,256,32
./TreeLifeData/COG0019.newick,5283246328145510400,8192,1536
./TreeLifeData/COG0020.newick,30293760,128,64
./TreeLifeData/COG0021.newick,109576192,256,512
./TreeLifeData/COG0022.newick,38351155691520,512,64
./TreeLifeData/COG0023.newick,62720,64,32
./TreeLifeData/COG0024.newick,280246616064,16384,4096
./TreeLifeData/COG0025.newick,324260981637120,128,24
./TreeLifeData/COG0026.newick,30624,32,16
./TreeLifeData/COG0027.newick,16800,32,8
./TreeLifeData/COG0028.newick,11857070820591403008,1024,64
./TreeLifeData/COG0029.newick,6984576,192,8
./TreeLifeData/COG0030.newick,29470003200,192,8
./TreeLifeData/COG0031.newick,78020877156876288,1024,32
./TreeLifeData/COG0033.newick,328320,64,8
./TreeLifeData/COG0034.newick,92897280,8192,1024
./TreeLifeData/COG0035.newick,3145728,4096,1024
./TreeLifeData/COG0036.newick,11794120704,128,64
./TreeLifeData/COG0037.newick,2,2,2
./TreeLifeData/COG0038.newick,219848638464,32768,512
./TreeLifeData/COG0039.newick,12,2,2
./TreeLifeData/COG0040.newick,7273728,16,4
./TreeLifeData/COG0041.newick,85828008960,32,32
./TreeLifeData/COG0042.newick,2,2,2
./TreeLifeData/COG0043.newick,92798976,256,64
./TreeLifeData/COG0044.newick,16055732092796928,65536,256
./TreeLifeData/COG0045.newick,10816727040,1024,32
./TreeLifeData/COG0046.newick,185794560,12288,256
./TreeLifeData/COG0047.newick,5160960,3072,64
./TreeLifeData/COG0048.newick,25163464704,128,64
./TreeLifeData/COG0049.newick,655360,1024,512
./TreeLifeData/COG0050.newick,652147200,32,8
./TreeLifeData/COG0051.newick,40366080,256,128
./TreeLifeData/COG0052.newick,926976,16,16
./TreeLifeData/COG0053.newick,5362837201354752,16384,1024
./TreeLifeData/COG0054.newick,1068687360,1024,24
./TreeLifeData/COG0055.newick,387099648,128,16
./TreeLifeData/COG0056.newick,327960000,32,8
./TreeLifeData/COG0057.newick,57561688571904,8192,512
./TreeLifeData/COG0058.newick,1181952,64,4
./TreeLifeData/COG0059.newick,29417472,64,32
./TreeLifeData/COG0060.newick,87500169216,128,128
./TreeLifeData/COG0061.newick,12039276395520,8,2
./TreeLifeData/COG0062.newick,7511552,48,8
./TreeLifeData/COG0063.newick,20213760,64,16
./TreeLifeData/COG0064.newick,59704320,8,4
./TreeLifeData/COG0065.newick,77414400,512,256
./TreeLifeData/COG0066.newick,405504,128,32
./TreeLifeData/COG0067.newick,36438016,128,32
./TreeLifeData/COG0068.newick,176,8,4
./TreeLifeData/COG0069.newick,129280,16,8
./TreeLifeData/COG0070.newick,24576,16,16
./TreeLifeData/COG0071.newick,5275574599680,16384,768
./TreeLifeData/COG0072.newick,59392000,8,4
./TreeLifeData/COG0073.newick,24576,128,64
./TreeLifeData/COG0074.newick,3547514880,256,32
./TreeLifeData/COG0075.newick,1840250880,32768,2048
./TreeLifeData/COG0076.newick,4459069440,65536,3072
./TreeLifeData/COG0077.newick,11238054912,32,16
./TreeLifeData/COG0078.newick,86580264960,1024,256
./TreeLifeData/COG0079.newick,8961336779327856967680,8388608,98304
./TreeLifeData/COG0080.newick,56678400,4,2
./TreeLifeData/COG0081.newick,316205531136,384,8
./TreeLifeData/COG0082.newick,3931213824,64,4
./TreeLifeData/COG0083.newick,50196480,64,4
./TreeLifeData/COG0084.newick,1627914240,1024,128
./TreeLifeData/COG0085.newick,181440,32,8
./TreeLifeData/COG0086.newick,61440,128,64
./TreeLifeData/COG0087.newick,70508620800,128,32
./TreeLifeData/COG0088.newick,238551040,1024,256
./TreeLifeData/COG0089.newick,38,4,2
./TreeLifeData/COG0090.newick,25878528,64,8
./TreeLifeData/COG0091.newick,165150720,512,384
./TreeLifeData/COG0092.newick,635648,32,32
./TreeLifeData/COG0093.newick,53258010624,8,2
./TreeLifeData/COG0094.newick,76677120,8,2
./TreeLifeData/COG0095.newick,8226816,64,16
./TreeLifeData/COG0096.newick,52850688,1024,64
./TreeLifeData/COG0097.newick,9584640,64,32
./TreeLifeData/COG0098.newick,385473650688,64,4
./TreeLifeData/COG0099.newick,10154833920,512,64
./TreeLifeData/COG0100.newick,566231040,4096,2048
./TreeLifeData/COG0101.newick,29491200,8192,2048
./TreeLifeData/COG0102.newick,84499200,8,2
./TreeLifeData/COG0103.newick,37552128,128,64
./TreeLifeData/COG0104.newick,12533760,32,32
./TreeLifeData/COG0105.newick,1956416716800,8192,96
./TreeLifeData/COG0106.newick,95551488,1024,128
./TreeLifeData/COG0107.newick,77414400,128,32
./TreeLifeData/COG0108.newick,103993638912,16,8
./TreeLifeData/COG0109.newick,49517568,16,24
./TreeLifeData/COG0110.newick,310828987021172806996715372544,4194304,131072
./TreeLifeData/COG0111.newick,48,16,6
./TreeLifeData/COG0112.newick,294540804096,64,32
./TreeLifeData/COG0113.newick,3540992,128,32
./TreeLifeData/COG0114.newick,55296,32,64
./TreeLifeData/COG0115.newick,257072092987392,16,8
./TreeLifeData/COG0116.newick,192,8,4
./TreeLifeData/COG0117.newick,357120,8,8
./TreeLifeData/COG0118.newick,1055232,128,16
./TreeLifeData/COG0119.newick,804952170823680,8192,256
./TreeLifeData/COG0120.newick,3808512,48,2
./TreeLifeData/COG0121.newick,11376,8,2
./TreeLifeData/COG0122.newick,2985984,2048,32
./TreeLifeData/COG0123.newick,5136847994880,4096,256
./TreeLifeData/COG0124.newick,34209792,256,16
./TreeLifeData/COG0125.newick,24576,256,64
./TreeLifeData/COG0126.newick,6082560,256,256
./TreeLifeData/COG0127.newick,102943948800,64,128
./TreeLifeData/COG0128.newick,1835008,32768,768
./TreeLifeData/COG0129.newick,147291605041152,16384,2048
./TreeLifeData/COG0130.newick,66908160,512,16
./TreeLifeData/COG0131.newick,38776320,128,32
./TreeLifeData/COG0132.newick,42393600,32,8
./TreeLifeData/COG0133.newick,7127040,256,256
./TreeLifeData/COG0134.newick,2654208,2048,1024
./TreeLifeData/COG0135.newick,6553600,512,1024
./TreeLifeData/COG0136.newick,73870848,1024,64
./TreeLifeData/COG0137.newick,18247680,512,128
./TreeLifeData/COG0138.newick,8886528,8,2
./TreeLifeData/COG0139.newick,4128768,1536,384
./TreeLifeData/COG0140.newick,306432,128,48
./TreeLifeData/COG0141.newick,862617600,512,48
./TreeLifeData/COG0142.newick,34998098793490022400,3145728,2048
./TreeLifeData/COG0143.newick,7962624,256,128
./TreeLifeData/COG0144.newick,3162494730240,2048,128
./TreeLifeData/COG0145.newick,921600,1024,256
./TreeLifeData/COG0146.newick,53568,48,4
./TreeLifeData/COG0147.newick,216473976963072,512,256
./TreeLifeData/COG0148.newick,122757120,128,16
./TreeLifeData/COG0149.newick,2795369398272,256,128
./TreeLifeData/COG0150.newick,990720,1024,128
./TreeLifeData/COG0151.newick,22781952,64,4
./TreeLifeData/COG0152.newick,481075200,512,64
./TreeLifeData/COG0153.newick,256,8,4
./TreeLifeData/COG0154.newick,165182182707764920320,268435456,1048576
./TreeLifeData/COG0155.newick,4644864,256,128
./TreeLifeData/COG0156.newick,190579311038693376,2097152,512
./TreeLifeData/COG0157.newick,415021916160,512,8
./TreeLifeData/COG0158.newick,1632000,24,4
./TreeLifeData/COG0159.newick,25853952,16,64
./TreeLifeData/COG0160.newick,14183091594067968,128,16
./TreeLifeData/COG0161.newick,751480475222016,256,16
./TreeLifeData/COG0162.newick,4735107072,4096,1024
./TreeLifeData/COG0163.newick,78531701760,32,2
./TreeLifeData/COG0164.newick,1963540480,64,4
./TreeLifeData/COG0165.newick,441778176,128,32
./TreeLifeData/COG0166.newick,19498752,128,12
./TreeLifeData/COG0167.newick,345813811200,128,16
./TreeLifeData/COG0168.newick,42701783040,512,64
